10:30:01.034 [restartedMain] INFO  com.CompetencySystemApplication - Starting CompetencySystemApplication using Java 17.0.8.1 with PID 4732 (D:\Backuphost-25-09-2023\Feature\Test-Management\CompetencySystemProject\target\classes started by akshay.hole in D:\Backuphost-25-09-2023\Feature\Test-Management\CompetencySystemProject)
10:37:55.929 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
10:37:56.048 [restartedMain] INFO  com.CompetencySystemApplication - Started CompetencySystemApplication in 2.705 seconds (process running for 480.55)
10:37:56.050 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
10:38:03.827 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
10:38:03.827 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
10:38:03.830 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
10:38:03.848 [http-nio-8080-exec-3] INFO  com.controller.QuestionController - Deleting question with id: 16
10:38:03.848 [http-nio-8080-exec-3] INFO  c.s.i.QuestionServiceImpl - Deleting question with id: 16
10:38:05.701 [http-nio-8080-exec-4] INFO  com.controller.QuestionController - Fetching all questions
10:38:05.701 [http-nio-8080-exec-4] INFO  c.s.i.QuestionServiceImpl - Fetching all questions
10:38:10.361 [http-nio-8080-exec-5] INFO  com.controller.QuestionController - Deleting question with id: 15
10:38:10.364 [http-nio-8080-exec-5] INFO  c.s.i.QuestionServiceImpl - Deleting question with id: 15
10:38:11.747 [http-nio-8080-exec-7] INFO  com.controller.QuestionController - Fetching all questions
10:38:11.747 [http-nio-8080-exec-7] INFO  c.s.i.QuestionServiceImpl - Fetching all questions
